Année;Livraison;Date;N° de notice;Page;Catégorie;Sous-Catégorie;Langue;Titre;Auteur;Identifiant auteur;Posture;Affichage identitaire;Traducteur;Identifiant traducteur;Para-auteur;Identifiant para-auteur;Nombre de feuilles;Fraction;Nombre de pages;Volumes;Format;Tirage 1;Illustrations 1;Nombre d'illustrations 1;Type de papier 1;Prix 1;Tirage 2;Illustrations 2;Nombre d'illustrations 2;Type de papier 2;Prix 2;Tirage 3;Illustrations 3;Nombre d'illustrations 3;Type de papier 3;Prix 3;Edition;Lieu d'édition;Imprimeur;Lieu d'impression;Lieu de vente 1;Libraire 1;Lieu de vente 2;Libraire 2;Lieu de vente 3;Libraire 3;Lieu de vente 4;Libraire 4;Lieu de vente 5;Libraire 5;Lieu de vente 6;Libraire 6;Lieu de vente 7;Libraire 7;Lieu de vente 8;Libraire 8;Lieu de vente 9;Libraire 9;Commentaires des bibliographes;Notes (e-BdF);Lien notice catalogue
1823;46;1823/11/15;4947;173;BELLES-LETTRES;Langues;Français;"Vocabulaire portatif de la langue française, contenant 1° tous les mots qui se trouvent dans les meilleurs Dictionnaires, avec la prononciation, lorsqu'elle offre des difficultés; 2° les participes passés dont la désinence peut embarrasser; 3° les pluriels des substantifs et des adjectifs, lorsqu'ils s'écartent de la règle générale; 4° les noms des contrées, des provinces et des villes les plus connues dans le monde; ouvrage destiné, etc.";J. E. J. F. Boinvilliers, correspondant de l'Institut royal de France, etc., etc.;;;"Sociétés savantes;Contexte géographique";;;;;22 1/2;;720;;In-16;;;;broché;4;;;;cartonné à l'anglaise;4,5;;;;relié;5;;;Auguste Delalain;;Paris;Auguste Delalain;;;;;;;;;;;;;;;;;;;
1823;46;1823/11/15;4968;176;BELLES-LETTRES;Poétique et Poésie;Français;"Les Bucoliques de Virgile; traduites en vers français. Par M. Geory, principal du collège de Digne (Prospectus d'une seconde édition de l'ouvrage intitulé :)";;;Anonyme;;;;;;0 1/10;;;;In-18;;;;;;;;;;;;;;;;;;Rignoux;;Paris;Canel;Paris;Audin;;;;;;;;;;;;;;;L'ouvrage formera un volume in-18.;;
1823;46;1823/11/15;4971;183;BELLES-LETTRES;Poétique et Poésie;Français;Recueil de chansons, dont le dépôt se trouve chez le sieur Aubert, syndic, rue de la Parcheminerie, n. 7;;;Anonyme;;;;;;0 1/2;;12;;In-12;;;;;;;;;;;;;;;;;;Egron;;Paris, rue de la Parcheminerie, n. 7;sieur Aubert, syndic;;;;;;;;;;;;;;;;;;;
1823;46;1823/11/15;4972;183;BELLES-LETTRES;Poétique et Poésie;Français;"Chansonnier français, ou Etrennes des dames; rédigé par quelques convives du Caveau moderne et des soupers de Momus. XXI° année";quelques convives du Caveau moderne et des soupers de Momus;;Collectif;Autres;;;;;7 1/3;;264;;In-18;;;;;1,5;;;;;;;;;;;;;Eberhart;;Paris;Caillot père et fils;;;;;;;;;;;;;;;;;(1824.);;
1823;46;1823/11/15;4973;183;BELLES-LETTRES;Poétique et Poésie;Français;Chansonnier des demoiselles, rédigé par quelques convives du Caveau moderne et des soupers de Momus. Vingtième année;quelques convives du Caveau moderne et des soupers de Momus;;Collectif;Autres;;;;;5 1/3;;192;;In-18;;;;;1;;;;;;;;;;;;;Eberhart;;Paris;Caillot père et fils;;;;;;;;;;;;;;;;;;;
1823;46;1823/11/15;4974;189;BELLES-LETTRES;Théâtre;Français;Le Fabricant, ou la Filature, comédie-vaudeville en un acte, représentée sur le théâtre des Variétés, le 29 octobre 1823;"M. Francis;M. Brazier";;Collectif;;;;;;2 1/4;;36;;In-8°;;;;;1,5;;;;;;;;;;;;;Hocquet;;Paris;Bezou;;;;;;;;;;;;;;;;;;;
1823;46;1823/11/15;4975;195;BELLES-LETTRES;Romans;Français;Laura de Médicis, ou l'Héroïne de Florence;mademoiselle A. Barthelemy Hadot, auteur du Soldat de qualité;;Nom féminin;"Célibataire;Métiers du livre";;;;;37 1/6;;892;4;In-12;;;;;;;;;;;;;;;;;;Lebel;;Paris;Lecointe et Durey;;;;;;;;;;;;;;;;;;;
1823;46;1823/11/15;4984;199;BELLES-LETTRES;Philologie, Critique, Mélanges;Latin;Expositio rationum quibus Moses Israelitas ad observandas leges morales excitavit, quam pro obtinenda prima laurea professoribus in æ scholæ theologica A. C. obtulit Car. Henr. Boeguer Argeutoratensis;Car. Henr. Boeguer Argeutoratensis;;;Contexte géographique;;;;;2 1/2;;20;;In-4°;;;;;;;;;;;;;;;;;;Silbermann;;;;;;;;;;;;;;;;;;;;;;
1823;46;1823/11/15;4989;196;BELLES-LETTRES;Romans;Anglais;Bracebridge hall, or the Humorists. New edition in two volumes;Geoffrey Crayon, gent.;;;Noblesse;;;;;32 1/3;;776;2;In-12;;;;;9;;;;;;;;;;;;;J. Didot aîné;;Paris;Baudry;Paris;Jules Didot aîné;;;;;;;;;;;;;;;;;
1823;47;1823/11/22;4992;201;BELLES-LETTRES;Polygraphes;Français;Lettres provinciales;Blaise Pascal;;;;;;L. S. Auger;;9 3/16;;588;2;In-32;;;;;5;;;;;;;;;;;;;J. Didot aîné;;Paris;Lefebvre;Paris;Brière;;;;;;;;;;;;;;;Les faux-titres portent : Collection des classiques français, dirigée par L. S. Auger, de l'Académie française (Sixième livraison.);;
1823;47;1823/11/22;4993;198;BELLES-LETTRES;Philologie, Critique, Mélanges;Français;Amusemens philologiques, ou variétés en tous genres. Seconde édition, revue, corrigée et augmentée;G. P. Philomneste A. B. A. V.;;;;;;;;33 3/8;;534;;In-8°;;;;;6;;;;papier fin;7;;;;;;;;Frantin;;Dijon;Victor Lagier;Paris;A. A. Renouard;;;;;;;;;;;;;;;Voy. ci-dessus, page 588, où il faut lire Philomneste au lieu de Philomueste.;;
